lat,lon
16.1538131729,108.2482991338
16.1538131729,108.2485820211
16.1538131729,108.2488649084
16.1538131729,108.2491477958
16.1538131729,108.2494306831
16.1538131729,108.2497135704
16.1538131729,108.2499964577
16.1538131729,108.2502793451
16.1538131729,108.2505622324
16.1538131729,108.2508451197
16.1538131729,108.251128007
16.1538131729,108.2514108944
16.1538131729,108.2516937817
16.1538131729,108.251976669
16.1538131729,108.2522595563
16.1538131729,108.2525424437
16.1538131729,108.252825331
16.1538131729,108.2531082183
16.1538131729,108.2533911056
16.1538131729,108.253673993
16.1538131729,108.2539568803
16.1538131729,108.2542397676
16.1538131729,108.2545226549
16.1535477955,108.2451873732
16.1535477955,108.2454702605
16.1535477955,108.2457531479
16.1535477955,108.2460360352
16.1535477955,108.2463189225
16.1535477955,108.2466018098
16.1535477955,108.2468846972
16.1535477955,108.2471675845
16.1535477955,108.2474504718
16.1535477955,108.2477333591
16.1535477955,108.2480162465
16.1535477955,108.2482991338
16.1535477955,108.2485820211
16.1535477955,108.2488649084
16.1535477955,108.2491477958
16.1535477955,108.2494306831
16.1535477955,108.2497135704
16.1535477955,108.2499964577
16.1535477955,108.2502793451
16.1535477955,108.2505622324
16.1535477955,108.2508451197
16.1535477955,108.251128007
16.1535477955,108.2514108944
16.1535477955,108.2516937817
16.1535477955,108.251976669
16.1535477955,108.2522595563
16.1535477955,108.2525424437
16.1535477955,108.252825331
16.1535477955,108.2531082183
16.1535477955,108.2533911056
16.1535477955,108.253673993
16.1535477955,108.2539568803
16.1535477955,108.2542397676
16.1535477955,108.2545226549
16.1535477955,108.2548055423
16.1535477955,108.2550884296
16.1535477955,108.2553713169
16.1535477955,108.2556542042
16.1535477955,108.2559370916
16.1535477955,108.2562199789
16.1532824182,108.2446215986
16.1532824182,108.2449044859
16.1532824182,108.2451873732
16.1532824182,108.2454702605
16.1532824182,108.2457531479
16.1532824182,108.2460360352
16.1532824182,108.2463189225
16.1532824182,108.2466018098
16.1532824182,108.2468846972
16.1532824182,108.2471675845
16.1532824182,108.2474504718
16.1532824182,108.2477333591
16.1532824182,108.2480162465
16.1532824182,108.2482991338
16.1532824182,108.2485820211
16.1532824182,108.2488649084
16.1532824182,108.2491477958
16.1532824182,108.2494306831
16.1532824182,108.2497135704
16.1532824182,108.2499964577
16.1532824182,108.2502793451
16.1532824182,108.2505622324
16.1532824182,108.2508451197
16.1532824182,108.251128007
16.1532824182,108.2514108944
16.1532824182,108.2516937817
16.1532824182,108.251976669
16.1532824182,108.2522595563
16.1532824182,108.2525424437
16.1532824182,108.252825331
16.1532824182,108.2531082183
16.1532824182,108.2533911056
16.1532824182,108.253673993
16.1532824182,108.2539568803
16.1532824182,108.2542397676
16.1532824182,108.2545226549
16.1532824182,108.2548055423
16.1532824182,108.2550884296
16.1532824182,108.2553713169
16.1532824182,108.2556542042
16.1532824182,108.2559370916
16.1532824182,108.2562199789
16.1532824182,108.2565028662
16.1532824182,108.2567857535
16.1532824182,108.2570686409
16.1530170408,108.2443387112
16.1530170408,108.2446215986
16.1530170408,108.2449044859
16.1530170408,108.2451873732
16.1530170408,108.2454702605
16.1530170408,108.2457531479
16.1530170408,108.2460360352
16.1530170408,108.2463189225
16.1530170408,108.2466018098
16.1530170408,108.2468846972
16.1530170408,108.2471675845
16.1530170408,108.2474504718
16.1530170408,108.2477333591
16.1530170408,108.2480162465
16.1530170408,108.2482991338
16.1530170408,108.2485820211
16.1530170408,108.2488649084
16.1530170408,108.2491477958
16.1530170408,108.2494306831
16.1530170408,108.2497135704
16.1530170408,108.2499964577
16.1530170408,108.2502793451
16.1530170408,108.2505622324
16.1530170408,108.2508451197
16.1530170408,108.251128007
16.1530170408,108.2514108944
16.1530170408,108.2516937817
16.1530170408,108.251976669
16.1530170408,108.2522595563
16.1530170408,108.2525424437
16.1530170408,108.252825331
16.1530170408,108.2531082183
16.1530170408,108.2533911056
16.1530170408,108.253673993
16.1530170408,108.2539568803
16.1530170408,108.2542397676
16.1530170408,108.2545226549
16.1530170408,108.2548055423
16.1530170408,108.2550884296
16.1530170408,108.2553713169
16.1530170408,108.2556542042
16.1530170408,108.2559370916
16.1530170408,108.2562199789
16.1530170408,108.2565028662
16.1530170408,108.2567857535
16.1530170408,108.2570686409
16.1530170408,108.2573515282
16.1527516635,108.2437729366
16.1527516635,108.2440558239
16.1527516635,108.2443387112
16.1527516635,108.2446215986
16.1527516635,108.2449044859
16.1527516635,108.2451873732
16.1527516635,108.2454702605
16.1527516635,108.2457531479
16.1527516635,108.2460360352
16.1527516635,108.2463189225
16.1527516635,108.2466018098
16.1527516635,108.2468846972
16.1527516635,108.2471675845
16.1527516635,108.2474504718
16.1527516635,108.2477333591
16.1527516635,108.2480162465
16.1527516635,108.2482991338
16.1527516635,108.2485820211
16.1527516635,108.2488649084
16.1527516635,108.2491477958
16.1527516635,108.2494306831
16.1527516635,108.2497135704
16.1527516635,108.2499964577
16.1527516635,108.2502793451
16.1527516635,108.2505622324
16.1527516635,108.2508451197
16.1527516635,108.251128007
16.1527516635,108.2514108944
16.1527516635,108.2516937817
16.1527516635,108.251976669
16.1527516635,108.2522595563
16.1527516635,108.2525424437
16.1527516635,108.252825331
16.1527516635,108.2531082183
16.1527516635,108.2533911056
16.1527516635,108.253673993
16.1527516635,108.2539568803
16.1527516635,108.2542397676
16.1527516635,108.2545226549
16.1527516635,108.2548055423
16.1527516635,108.2550884296
16.1527516635,108.2553713169
16.1527516635,108.2556542042
16.1527516635,108.2559370916
16.1527516635,108.2562199789
16.1527516635,108.2565028662
16.1527516635,108.2567857535
16.1527516635,108.2570686409
16.1527516635,108.2573515282
16.1527516635,108.2576344155
16.1527516635,108.2579173028
16.1524862861,108.2434900493
16.1524862861,108.2437729366
16.1524862861,108.2440558239
16.1524862861,108.2443387112
16.1524862861,108.2446215986
16.1524862861,108.2449044859
16.1524862861,108.2451873732
16.1524862861,108.2454702605
16.1524862861,108.2457531479
16.1524862861,108.2460360352
16.1524862861,108.2463189225
16.1524862861,108.2466018098
16.1524862861,108.2468846972
16.1524862861,108.2471675845
16.1524862861,108.2474504718
16.1524862861,108.2477333591
16.1524862861,108.2480162465
16.1524862861,108.2482991338
16.1524862861,108.2485820211
16.1524862861,108.2488649084
16.1524862861,108.2491477958
16.1524862861,108.2494306831
16.1524862861,108.2497135704
16.1524862861,108.2499964577
16.1524862861,108.2502793451
16.1524862861,108.2505622324
16.1524862861,108.2508451197
16.1524862861,108.251128007
16.1524862861,108.2514108944
16.1524862861,108.2516937817
16.1524862861,108.251976669
16.1524862861,108.2522595563
16.1524862861,108.2525424437
16.1524862861,108.252825331
16.1524862861,108.2531082183
16.1524862861,108.2533911056
16.1524862861,108.253673993
16.1524862861,108.2539568803
16.1524862861,108.2542397676
16.1524862861,108.2545226549
16.1524862861,108.2548055423
16.1524862861,108.2550884296
16.1524862861,108.2553713169
16.1524862861,108.2556542042
16.1524862861,108.2559370916
16.1524862861,108.2562199789
16.1524862861,108.2565028662
16.1524862861,108.2567857535
16.1524862861,108.2570686409
16.1524862861,108.2573515282
16.1524862861,108.2576344155
16.1524862861,108.2579173028
16.1524862861,108.2582001902
16.1522209088,108.2432071619
16.1522209088,108.2434900493
16.1522209088,108.2437729366
16.1522209088,108.2440558239
16.1522209088,108.2443387112
16.1522209088,108.2446215986
16.1522209088,108.2449044859
16.1522209088,108.2451873732
16.1522209088,108.2454702605
16.1522209088,108.2457531479
16.1522209088,108.2460360352
16.1522209088,108.2463189225
16.1522209088,108.2466018098
16.1522209088,108.2468846972
16.1522209088,108.2471675845
16.1522209088,108.2474504718
16.1522209088,108.2477333591
16.1522209088,108.2480162465
16.1522209088,108.2482991338
16.1522209088,108.2485820211
16.1522209088,108.2488649084
16.1522209088,108.2491477958
16.1522209088,108.2494306831
16.1522209088,108.2497135704
16.1522209088,108.2499964577
16.1522209088,108.2502793451
16.1522209088,108.2505622324
16.1522209088,108.2508451197
16.1522209088,108.251128007
16.1522209088,108.2514108944
16.1522209088,108.2516937817
16.1522209088,108.251976669
16.1522209088,108.2522595563
16.1522209088,108.2525424437
16.1522209088,108.252825331
16.1522209088,108.2531082183
16.1522209088,108.2533911056
16.1522209088,108.253673993
16.1522209088,108.2539568803
16.1522209088,108.2542397676
16.1522209088,108.2545226549
16.1522209088,108.2548055423
16.1522209088,108.2550884296
16.1522209088,108.2553713169
16.1522209088,108.2556542042
16.1522209088,108.2559370916
16.1522209088,108.2562199789
16.1522209088,108.2565028662
16.1522209088,108.2567857535
16.1522209088,108.2570686409
16.1522209088,108.2573515282
16.1522209088,108.2576344155
16.1522209088,108.2579173028
16.1522209088,108.2582001902
16.1522209088,108.2584830775
16.1522209088,108.2587659648
16.1519555314,108.2423585
16.1519555314,108.2426413873
16.1519555314,108.2429242746
16.1519555314,108.2432071619
16.1519555314,108.2434900493
16.1519555314,108.2437729366
16.1519555314,108.2440558239
16.1519555314,108.2443387112
16.1519555314,108.2446215986
16.1519555314,108.2449044859
16.1519555314,108.2451873732
16.1519555314,108.2454702605
16.1519555314,108.2457531479
16.1519555314,108.2460360352
16.1519555314,108.2463189225
16.1519555314,108.2466018098
16.1519555314,108.2468846972
16.1519555314,108.2471675845
16.1519555314,108.2474504718
16.1519555314,108.2477333591
16.1519555314,108.2480162465
16.1519555314,108.2482991338
16.1519555314,108.2485820211
16.1519555314,108.2488649084
16.1519555314,108.2491477958
16.1519555314,108.2494306831
16.1519555314,108.2497135704
16.1519555314,108.2499964577
16.1519555314,108.2502793451
16.1519555314,108.2505622324
16.1519555314,108.2508451197
16.1519555314,108.251128007
16.1519555314,108.2514108944
16.1519555314,108.2516937817
16.1519555314,108.251976669
16.1519555314,108.2522595563
16.1519555314,108.2525424437
16.1519555314,108.252825331
16.1519555314,108.2531082183
16.1519555314,108.2533911056
16.1519555314,108.253673993
16.1519555314,108.2539568803
16.1519555314,108.2542397676
16.1519555314,108.2545226549
16.1519555314,108.2548055423
16.1519555314,108.2550884296
16.1519555314,108.2553713169
16.1519555314,108.2556542042
16.1519555314,108.2559370916
16.1519555314,108.2562199789
16.1519555314,108.2565028662
16.1519555314,108.2567857535
16.1519555314,108.2570686409
16.1519555314,108.2573515282
16.1519555314,108.2576344155
16.1519555314,108.2579173028
16.1519555314,108.2582001902
16.1519555314,108.2584830775
16.1519555314,108.2587659648
16.1519555314,108.2590488521
16.1516901541,108.2423585
16.1516901541,108.2426413873
16.1516901541,108.2429242746
16.1516901541,108.2432071619
16.1516901541,108.2434900493
16.1516901541,108.2437729366
16.1516901541,108.2440558239
16.1516901541,108.2443387112
16.1516901541,108.2446215986
16.1516901541,108.2449044859
16.1516901541,108.2451873732
16.1516901541,108.2454702605
16.1516901541,108.2457531479
16.1516901541,108.2460360352
16.1516901541,108.2463189225
16.1516901541,108.2466018098
16.1516901541,108.2468846972
16.1516901541,108.2471675845
16.1516901541,108.2474504718
16.1516901541,108.2477333591
16.1516901541,108.2480162465
16.1516901541,108.2482991338
16.1516901541,108.2485820211
16.1516901541,108.2488649084
16.1516901541,108.2491477958
16.1516901541,108.2494306831
16.1516901541,108.2497135704
16.1516901541,108.2499964577
16.1516901541,108.2502793451
16.1516901541,108.2505622324
16.1516901541,108.2508451197
16.1516901541,108.251128007
16.1516901541,108.2514108944
16.1516901541,108.2516937817
16.1516901541,108.251976669
16.1516901541,108.2522595563
16.1516901541,108.2525424437
16.1516901541,108.252825331
16.1516901541,108.2531082183
16.1516901541,108.2533911056
16.1516901541,108.253673993
16.1516901541,108.2539568803
16.1516901541,108.2542397676
16.1516901541,108.2545226549
16.1516901541,108.2548055423
16.1516901541,108.2550884296
16.1516901541,108.2553713169
16.1516901541,108.2556542042
16.1516901541,108.2559370916
16.1516901541,108.2562199789
16.1516901541,108.2565028662
16.1516901541,108.2567857535
16.1516901541,108.2570686409
16.1516901541,108.2573515282
16.1516901541,108.2576344155
16.1516901541,108.2579173028
16.1516901541,108.2582001902
16.1516901541,108.2584830775
16.1516901541,108.2587659648
16.1516901541,108.2590488521
16.1516901541,108.2593317395
16.1514247767,108.2420756126
16.1514247767,108.2423585
16.1514247767,108.2426413873
16.1514247767,108.2429242746
16.1514247767,108.2432071619
16.1514247767,108.2434900493
16.1514247767,108.2437729366
16.1514247767,108.2440558239
16.1514247767,108.2443387112
16.1514247767,108.2446215986
16.1514247767,108.2449044859
16.1514247767,108.2451873732
16.1514247767,108.2454702605
16.1514247767,108.2457531479
16.1514247767,108.2460360352
16.1514247767,108.2463189225
16.1514247767,108.2466018098
16.1514247767,108.2468846972
16.1514247767,108.2471675845
16.1514247767,108.2474504718
16.1514247767,108.2477333591
16.1514247767,108.2480162465
16.1514247767,108.2482991338
16.1514247767,108.2485820211
16.1514247767,108.2488649084
16.1514247767,108.2491477958
16.1514247767,108.2494306831
16.1514247767,108.2497135704
16.1514247767,108.2499964577
16.1514247767,108.2502793451
16.1514247767,108.2505622324
16.1514247767,108.2508451197
16.1514247767,108.251128007
16.1514247767,108.2514108944
16.1514247767,108.2516937817
16.1514247767,108.251976669
16.1514247767,108.2522595563
16.1514247767,108.2525424437
16.1514247767,108.252825331
16.1514247767,108.2531082183
16.1514247767,108.2533911056
16.1514247767,108.253673993
16.1514247767,108.2539568803
16.1514247767,108.2542397676
16.1514247767,108.2545226549
16.1514247767,108.2548055423
16.1514247767,108.2550884296
16.1514247767,108.2553713169
16.1514247767,108.2556542042
16.1514247767,108.2559370916
16.1514247767,108.2562199789
16.1514247767,108.2565028662
16.1514247767,108.2567857535
16.1514247767,108.2570686409
16.1514247767,108.2573515282
16.1514247767,108.2576344155
16.1514247767,108.2579173028
16.1514247767,108.2582001902
16.1514247767,108.2584830775
16.1514247767,108.2587659648
16.1514247767,108.2590488521
16.1514247767,108.2593317395
16.1514247767,108.2596146268
16.1511593994,108.2420756126
16.1511593994,108.2423585
16.1511593994,108.2426413873
16.1511593994,108.2429242746
16.1511593994,108.2432071619
16.1511593994,108.2434900493
16.1511593994,108.2437729366
16.1511593994,108.2440558239
16.1511593994,108.2443387112
16.1511593994,108.2446215986
16.1511593994,108.2449044859
16.1511593994,108.2451873732
16.1511593994,108.2454702605
16.1511593994,108.2457531479
16.1511593994,108.2460360352
16.1511593994,108.2463189225
16.1511593994,108.2466018098
16.1511593994,108.2468846972
16.1511593994,108.2471675845
16.1511593994,108.2474504718
16.1511593994,108.2477333591
16.1511593994,108.2480162465
16.1511593994,108.2482991338
16.1511593994,108.2485820211
16.1511593994,108.2488649084
16.1511593994,108.2491477958
16.1511593994,108.2494306831
16.1511593994,108.2497135704
16.1511593994,108.2499964577
16.1511593994,108.2502793451
16.1511593994,108.2505622324
16.1511593994,108.2508451197
16.1511593994,108.251128007
16.1511593994,108.2514108944
16.1511593994,108.2516937817
16.1511593994,108.251976669
16.1511593994,108.2522595563
16.1511593994,108.2525424437
16.1511593994,108.252825331
16.1511593994,108.2531082183
16.1511593994,108.2533911056
16.1511593994,108.253673993
16.1511593994,108.2539568803
16.1511593994,108.2542397676
16.1511593994,108.2545226549
16.1511593994,108.2548055423
16.1511593994,108.2550884296
16.1511593994,108.2553713169
16.1511593994,108.2556542042
16.1511593994,108.2559370916
16.1511593994,108.2562199789
16.1511593994,108.2565028662
16.1511593994,108.2567857535
16.1511593994,108.2570686409
16.1511593994,108.2573515282
16.1511593994,108.2576344155
16.1511593994,108.2579173028
16.1511593994,108.2582001902
16.1511593994,108.2584830775
16.1511593994,108.2587659648
16.1511593994,108.2590488521
16.1511593994,108.2593317395
16.1511593994,108.2596146268
16.1511593994,108.2598975141
16.150894022,108.2420756126
16.150894022,108.2423585
16.150894022,108.2426413873
16.150894022,108.2429242746
16.150894022,108.2432071619
16.150894022,108.2434900493
16.150894022,108.2437729366
16.150894022,108.2440558239
16.150894022,108.2443387112
16.150894022,108.2446215986
16.150894022,108.2449044859
16.150894022,108.2451873732
16.150894022,108.2454702605
16.150894022,108.2457531479
16.150894022,108.2460360352
16.150894022,108.2463189225
16.150894022,108.2466018098
16.150894022,108.2468846972
16.150894022,108.2471675845
16.150894022,108.2474504718
16.150894022,108.2477333591
16.150894022,108.2480162465
16.150894022,108.2482991338
16.150894022,108.2485820211
16.150894022,108.2488649084
16.150894022,108.2491477958
16.150894022,108.2494306831
